q_num,question,type,kind,option,count,pct,count_status
1,您目前是否为在校大学生？,单选题,option,是,33.0,97.06,reported
1,您目前是否为在校大学生？,单选题,option,否，结束问卷,1.0,2.94,reported
2,您的性别认同是？,单选题,option,女性,32.0,96.97,reported
2,您的性别认同是？,单选题,option,非女性 / 不便透露，结束问卷,1.0,3.03,reported
3,您的年龄是？,单选题,option,18岁以下,0.0,0.0,reported
3,您的年龄是？,单选题,option,18-20岁,28.0,87.5,reported
3,您的年龄是？,单选题,option,21-23岁,3.0,9.38,reported
3,您的年龄是？,单选题,option,24岁及以上,1.0,3.13,reported
4,过去一个月，您平均每周进行运动的频率大约是？,单选题,option,几乎不运动,5.0,15.63,reported
4,过去一个月，您平均每周进行运动的频率大约是？,单选题,option,每周一次,6.0,18.75,reported
4,过去一个月，您平均每周进行运动的频率大约是？,单选题,option,每周2-3次,15.0,46.88,reported
4,过去一个月，您平均每周进行运动的频率大约是？,单选题,option,每周4-5次,5.0,15.63,reported
4,过去一个月，您平均每周进行运动的频率大约是？,单选题,option,每周6次及以上,1.0,3.13,reported
5,您是否使用过学校健身房？,单选题,option,是,25.0,78.13,reported
5,您是否使用过学校健身房？,单选题,option,否,7.0,21.88,reported
6,您通常在什么时间段去健身房？（可多选）,多选题,option,早上,10.0,31.25,reported
6,您通常在什么时间段去健身房？（可多选）,多选题,option,中午,4.0,12.5,reported
6,您通常在什么时间段去健身房？（可多选）,多选题,option,下午,7.0,21.88,reported
6,您通常在什么时间段去健身房？（可多选）,多选题,option,晚上,12.0,37.5,reported
6,您通常在什么时间段去健身房？（可多选）,多选题,option,我基本不去,9.0,28.13,reported
7,您最常使用健身房哪些区域？（可多选）,多选题,option,跑步机/椭圆机等有氧区,21.0,65.63,reported
7,您最常使用健身房哪些区域？（可多选）,多选题,option,拉伸/瑜伽区,5.0,15.63,reported
7,您最常使用健身房哪些区域？（可多选）,多选题,option,固定器械区,9.0,28.13,reported
7,您最常使用健身房哪些区域？（可多选）,多选题,option,自由重量区（哑铃、杠铃等）,5.0,15.63,reported
7,您最常使用健身房哪些区域？（可多选）,多选题,option,功能训练区,4.0,12.5,reported
7,您最常使用健身房哪些区域？（可多选）,多选题,option,我基本不进入健身房,8.0,25.0,reported
8,您是否曾系统接触过力量训练？,单选题,option,完全没有,10.0,31.25,reported
8,您是否曾系统接触过力量训练？,单选题,option,有一点尝试，但不系统,14.0,43.75,reported
8,您是否曾系统接触过力量训练？,单选题,option,以前有规律进行过,3.0,9.38,reported
8,您是否曾系统接触过力量训练？,单选题,option,目前正在规律进行,5.0,15.63,reported
9,您当前最主要的运动目标是？（最多选2项）,多选题,option,减脂/变瘦,18.0,56.25,reported
9,您当前最主要的运动目标是？（最多选2项）,多选题,option,塑形/线条,11.0,34.38,reported
9,您当前最主要的运动目标是？（最多选2项）,多选题,option,增强体能,11.0,34.38,reported
9,您当前最主要的运动目标是？（最多选2项）,多选题,option,提高力量,6.0,18.75,reported
9,您当前最主要的运动目标是？（最多选2项）,多选题,option,保持健康,8.0,25.0,reported
9,您当前最主要的运动目标是？（最多选2项）,多选题,option,缓解压力,4.0,12.5,reported
9,您当前最主要的运动目标是？（最多选2项）,多选题,option,社交需求,0.0,0.0,reported
9,您当前最主要的运动目标是？（最多选2项）,多选题,option,其他 [详情],2.0,6.25,reported
10,自由重量区的整体布局让我觉得不容易接近。,滑动条,bin,1–1.8分,2.0,6.25,reported
10,自由重量区的整体布局让我觉得不容易接近。,滑动条,bin,1.9–2.6分,6.0,18.75,reported
10,自由重量区的整体布局让我觉得不容易接近。,滑动条,bin,2.7–3.4分,11.0,34.38,reported
10,自由重量区的整体布局让我觉得不容易接近。,滑动条,bin,3.5–4.2分,9.0,28.12,reported
10,自由重量区的整体布局让我觉得不容易接近。,滑动条,bin,4.3–5分,4.0,12.5,reported
11,当自由重量区男性较多时，我会明显感到不自在。,滑动条,bin,1–1.8分,1.0,3.12,reported
11,当自由重量区男性较多时，我会明显感到不自在。,滑动条,bin,1.9–2.6分,2.0,6.25,reported
11,当自由重量区男性较多时，我会明显感到不自在。,滑动条,bin,2.7–3.4分,3.0,9.38,reported
11,当自由重量区男性较多时，我会明显感到不自在。,滑动条,bin,3.5–4.2分,6.0,18.75,reported
11,当自由重量区男性较多时，我会明显感到不自在。,滑动条,bin,4.3–5分,20.0,62.5,reported
12,镜子很多、公开可见的环境会让我更在意别人怎么看我的身体或动作。,滑动条,bin,1–1.8分,2.0,6.25,reported
12,镜子很多、公开可见的环境会让我更在意别人怎么看我的身体或动作。,滑动条,bin,1.9–2.6分,5.0,15.62,reported
12,镜子很多、公开可见的环境会让我更在意别人怎么看我的身体或动作。,滑动条,bin,2.7–3.4分,8.0,25.0,reported
12,镜子很多、公开可见的环境会让我更在意别人怎么看我的身体或动作。,滑动条,bin,3.5–4.2分,6.0,18.75,reported
12,镜子很多、公开可见的环境会让我更在意别人怎么看我的身体或动作。,滑动条,bin,4.3–5分,11.0,34.38,reported
13,我担心自己动作不标准，会被别人注意或评判。,滑动条,bin,1–1.8分,1.0,3.12,reported
13,我担心自己动作不标准，会被别人注意或评判。,滑动条,bin,1.9–2.6分,3.0,9.38,reported
13,我担心自己动作不标准，会被别人注意或评判。,滑动条,bin,2.7–3.4分,7.0,21.88,reported
13,我担心自己动作不标准，会被别人注意或评判。,滑动条,bin,3.5–4.2分,10.0,31.25,reported
13,我担心自己动作不标准，会被别人注意或评判。,滑动条,bin,4.3–5分,11.0,34.38,reported
14,我觉得自由重量区更像是“男性主导”的空间。,滑动条,bin,1–1.8分,3.0,9.38,reported
14,我觉得自由重量区更像是“男性主导”的空间。,滑动条,bin,1.9–2.6分,2.0,6.25,reported
14,我觉得自由重量区更像是“男性主导”的空间。,滑动条,bin,2.7–3.4分,7.0,21.88,reported
14,我觉得自由重量区更像是“男性主导”的空间。,滑动条,bin,3.5–4.2分,11.0,34.38,reported
14,我觉得自由重量区更像是“男性主导”的空间。,滑动条,bin,4.3–5分,9.0,28.12,reported
15,自由重量区的人数密度、器械集中和拥挤感，会让我不想停留。,滑动条,bin,1–1.8分,2.0,6.25,reported
15,自由重量区的人数密度、器械集中和拥挤感，会让我不想停留。,滑动条,bin,1.9–2.6分,2.0,6.25,reported
15,自由重量区的人数密度、器械集中和拥挤感，会让我不想停留。,滑动条,bin,2.7–3.4分,4.0,12.5,reported
15,自由重量区的人数密度、器械集中和拥挤感，会让我不想停留。,滑动条,bin,3.5–4.2分,12.0,37.5,reported
15,自由重量区的人数密度、器械集中和拥挤感，会让我不想停留。,滑动条,bin,4.3–5分,12.0,37.5,reported
16,过去一个月里，您主动避开自由重量区的频率是？,单选题,option,从未,5.0,15.63,reported
16,过去一个月里，您主动避开自由重量区的频率是？,单选题,option,很少,5.0,15.63,reported
16,过去一个月里，您主动避开自由重量区的频率是？,单选题,option,有时,10.0,31.25,reported
16,过去一个月里，您主动避开自由重量区的频率是？,单选题,option,经常,6.0,18.75,reported
16,过去一个月里，您主动避开自由重量区的频率是？,单选题,option,总是,6.0,18.75,inferred_from_valid_n
17,您回避自由重量区的主要原因有哪些？（可多选）,多选题,option,男性太多,19.0,59.38,reported
17,您回避自由重量区的主要原因有哪些？（可多选）,多选题,option,害怕被注视,,,missing
17,您回避自由重量区的主要原因有哪些？（可多选）,多选题,option,害怕动作出错,9.0,28.13,reported
