respondent_no,age,exercise_frequency,campus_gym_use,strength_training_experience,avoidance_frequency,avoidance_frequency_score,free_weight_user,systematic_strength_training,spatial_pressure,media_internalization,training_self_efficacy,intervention_preference
2,21-23岁,每周一次,是,有一点尝试，但不系统,有时,3,False,False,3.3000000000000003,3.3666666666666667,3.0,3.3666666666666667
3,18-20岁,每周一次,是,完全没有,经常,4,False,False,4.733333333333333,3.033333333333333,2.1,3.8333333333333335
4,18-20岁,每周4-5次,是,有一点尝试，但不系统,经常,4,False,False,4.1499999999999995,3.266666666666666,4.1,4.266666666666667
5,18-20岁,每周2-3次,是,完全没有,有时,3,False,False,3.7000000000000006,1.0,3.0,3.3000000000000003
6,18-20岁,几乎不运动,否,完全没有,从未,1,False,False,3.283333333333333,3.6666666666666665,3.5,3.6666666666666665
7,18-20岁,几乎不运动,是,完全没有,从未,1,False,False,3.566666666666667,2.0666666666666664,2.3,3.6
8,18-20岁,每周4-5次,是,目前正在规律进行,从未,1,True,True,3.716666666666667,2.1666666666666665,5.0,4.233333333333333
9,18-20岁,每周2-3次,是,有一点尝试，但不系统,很少,2,False,False,3.6666666666666665,2.4,4.2,4.033333333333333
10,18-20岁,每周2-3次,是,以前有规律进行过,很少,2,True,True,3.5,2.8333333333333335,3.4,3.6666666666666665
11,21-23岁,每周4-5次,是,目前正在规律进行,从未,1,True,True,1.3833333333333335,2.033333333333333,3.0,3.5
12,18-20岁,每周2-3次,是,有一点尝试，但不系统,有时,3,False,False,2.8333333333333335,2.8333333333333335,4.0,2.6666666666666665
13,18-20岁,每周2-3次,是,目前正在规律进行,有时,3,False,True,3.733333333333334,1.3666666666666665,2.4,3.5
14,18-20岁,每周一次,否,有一点尝试，但不系统,有时,3,False,False,4.266666666666667,3.4666666666666663,3.0,4.3999999999999995
15,18-20岁,每周2-3次,是,有一点尝试，但不系统,有时,3,False,False,3.9,2.6666666666666665,3.0,4.333333333333333
16,18-20岁,每周2-3次,是,完全没有,总是,5,False,False,3.5833333333333335,1.6333333333333335,2.4,4.166666666666667
17,18-20岁,每周2-3次,是,以前有规律进行过,从未,1,True,True,1.6833333333333333,1.0,4.0,3.6666666666666665
18,18-20岁,每周2-3次,是,完全没有,总是,5,False,False,3.983333333333334,2.033333333333333,1.5,3.9666666666666663
19,18-20岁,每周2-3次,是,有一点尝试，但不系统,经常,4,False,False,4.083333333333333,2.5,3.1,4.566666666666666
20,18-20岁,每周2-3次,是,完全没有,总是,5,False,False,4.366666666666667,3.2999999999999994,4.0,4.533333333333332
21,18-20岁,几乎不运动,否,有一点尝试，但不系统,有时,3,False,False,4.25,3.266666666666667,3.1,4.066666666666666
22,18-20岁,几乎不运动,否,完全没有,经常,4,False,False,4.55,3.9,2.9,4.2
23,18-20岁,每周2-3次,是,有一点尝试，但不系统,经常,4,False,False,3.3333333333333335,2.6666666666666665,4.0,4.0
24,18-20岁,每周2-3次,是,目前正在规律进行,很少,2,False,True,3.6666666666666665,3.5,4.0,4.666666666666667
25,18-20岁,每周一次,是,以前有规律进行过,有时,3,False,True,4.066666666666666,2.3666666666666667,3.9,4.533333333333334
26,18-20岁,每周6次及以上,否,目前正在规律进行,很少,2,False,True,3.6833333333333336,1.0,4.9,3.6666666666666665
28,18-20岁,每周一次,是,有一点尝试，但不系统,经常,4,False,False,4.366666666666666,2.6,2.0,4.333333333333333
29,18-20岁,每周2-3次,否,完全没有,有时,3,False,False,4.166666666666667,2.6,4.8,3.9333333333333336
30,21-23岁,每周4-5次,是,有一点尝试，但不系统,很少,2,True,False,2.716666666666667,2.3666666666666667,4.0,3.766666666666667
31,24岁及以上,每周2-3次,是,有一点尝试，但不系统,有时,3,False,False,3.2999999999999994,2.3000000000000003,3.1,2.8666666666666667
32,18-20岁,几乎不运动,否,完全没有,总是,5,False,False,5.0,5.0,5.0,4.966666666666667
33,18-20岁,每周4-5次,是,有一点尝试，但不系统,总是,5,False,False,4.333333333333333,2.566666666666667,5.0,5.0
34,18-20岁,每周一次,是,有一点尝试，但不系统,总是,5,False,False,4.05,4.333333333333333,4.0,4.0
